"id";"od_id";"role";"decision";"remarks";"action_time"
5;3;"TEACHER";"APPROVED";"Approved for symposium";"2026-01-27 21:04:53"
6;2;"TEACHER";"APPROVED";"Approved for symposium";"2026-01-27 21:05:16"
7;2;"TEACHER";"REJECTED";"Reason not acceptable";"2026-01-27 21:05:48"
8;4;"TEACHER";"REJECTED";"Approved by class teacher";"2026-01-28 19:57:12"
9;4;"TEACHER";"APPROVED";"Approved by class teacher";"2026-01-28 19:57:23"
10;4;"HOD";"APPROVED";"Approved by HOD";"2026-01-28 19:57:47"
11;4;"DEAN";"APPROVED";"Approved by HOD";"2026-01-28 19:57:59"
12;1;"TEACHER";"APPROVED";"Approved for workshop";"2026-01-29 19:48:40"
13;1;"HOD";"APPROVED";"Approved";"2026-01-29 19:50:38"
14;1;"TEACHER";"APPROVED";"Approved for workshop";"2026-01-29 22:42:06"
15;1;"HOD";"APPROVED";"Approved";"2026-01-29 22:43:11"
16;9;"TEACHER";"APPROVED";"";"2026-02-01 14:04:39"
17;11;"TEACHER";"APPROVED";"no";"2026-02-01 14:05:37"
18;10;"TEACHER";"REJECTED";"bad";"2026-02-01 20:24:42"
19;12;"TEACHER";"APPROVED";"";"2026-02-02 09:07:33"
20;13;"TEACHER";"APPROVED";"";"2026-02-02 12:51:49"
21;14;"TEACHER";"REJECTED";"bad";"2026-02-02 12:53:19"
22;15;"TEACHER";"APPROVED";"";"2026-02-02 15:48:41"
23;15;"HOD";"APPROVED";"";"2026-02-03 10:15:23"
24;15;"DEAN";"APPROVED";"";"2026-02-03 10:19:38"
